STCODE,FORMAT,SITE,REP,DURATION,SPECIES,TYPE,NIR_NUM,MESH,DATEOUT,IADW,IODW,DATEIN,FWW,FOW,LENGTH,IADW1,IODW1,IASH,FASH,IAFW,FAFW,PRM,PAFRM,KDW,KAFW,TYPE1,TIMEOUT,COMMENT,FLAG
TD023,9,"LIDET_AND",1,3,"PIEL",R,48397,0.1,1990-10-19,7.000,6.377,1993-10-21,10.806,4.978,,,,6.300,7.950,5.975,4.582,78.062,76.686,-0.082,-0.088,R,3.01,,
TD023,9,"LIDET_AND",1,3,"PIRE",L,2272,1.0,1990-10-19,10.076,9.794,1993-10-21,12.950,4.302,,,,1.700,6.690,9.628,4.014,43.925,41.691,-0.274,-0.291,L,3.01,,
TD023,9,"LIDET_AND",1,3,"QUPR",L,4151,1.0,1990-10-19,10.153,9.524,1993-10-21,13.386,4.075,,,,4.390,12.190,9.106,3.578,42.787,39.293,-0.282,-0.311,L,3.01,,
TD023,9,"LIDET_AND",1,3,"SPAL",L,48,1.0,1990-10-19,10.113,9.476,1993-10-21,15.357,3.833,,,,12.220,11.070,8.318,3.409,40.450,40.983,-0.301,-0.297,L,3.01,,
TD023,9,"LIDET_AND",1,3,"THPL",L,793,1.0,1990-10-19,10.094,9.569,1993-10-21,19.272,5.776,,,,7.790,10.270,8.824,5.183,60.362,58.738,-0.168,-0.177,L,3.01,,
TD023,9,"LIDET_AND",1,3,"TRAE",L,2901,1.0,1990-10-19,10.067,9.594,1993-10-21,21.627,6.082,,,,2.820,9.090,9.323,5.529,63.394,59.305,-0.152,-0.174,L,3.01,,
TD023,9,"LIDET_AND",1,4,"ACSA",L,3948,1.0,1990-10-19,10.066,9.553,1994-10-25,14.990,4.180,,,,4.710,9.920,9.103,3.765,43.756,41.360,-0.206,-0.220,L,4.02,,
TD023,9,"LIDET_AND",1,4,"ANGE",R,46488,0.1,1990-10-19,6.996,6.681,1994-10-25,5.820,3.490,,,,23.300,44.610,5.124,1.933,52.238,37.724,-0.162,-0.243,R,4.02,,
TD023,9,"LIDET_AND",1,4,"BELU",L,105,1.0,1990-10-19,10.085,9.631,1994-10-25,20.890,5.750,,,,5.700,9.500,9.082,5.204,59.703,57.300,-0.128,-0.139,L,4.02,,
TD023,9,"LIDET_AND",1,4,"DRGL",L,4988,1.0,1990-10-19,10.098,9.765,1994-10-25,8.980,2.440,,,,7.800,12.220,9.003,2.142,24.987,23.792,-0.345,-0.357,L,4.02,,
TD023,9,"LIDET_AND",1,4,"DRGL",R,46891,0.1,1990-10-19,7.025,6.765,1994-10-25,4.980,2.750,,,,6.950,12.750,6.295,2.399,40.650,38.110,-0.224,-0.240,R,4.02,,
TD023,9,"LIDET_AND",1,4,"GOBA",A,68800,,1990-10-19,48.629,44.885,1994-10-25,28.810,19.160,30.50,24.315,22.443,1.470,2.180,22.113,18.742,85.372,84.756,-0.039,-0.041,W,4.02,,
TD023,9,"LIDET_AND",1,4,"GOBA",B,68800,,1990-10-19,48.629,44.885,1994-10-25,23.060,15.660,30.50,24.315,22.443,1.470,0.050,22.113,15.652,69.777,70.782,-0.090,-0.086,W,4.02,,
TD023,9,"LIDET_AND",1,4,"PIEL",R,48393,0.1,1990-10-19,7.064,6.435,1994-10-25,12.640,4.790,,,,6.300,24.720,6.030,3.606,74.437,59.801,-0.074,-0.128,R,4.02,,
TD023,9,"LIDET_AND",1,4,"PIRE",L,2268,1.0,1990-10-19,10.200,9.914,1994-10-25,13.590,4.250,,,,1.700,6.950,9.745,3.955,42.869,40.585,-0.211,-0.225,L,4.02,,
TD023,9,"LIDET_AND",1,4,"QUPR",L,4147,1.0,1990-10-19,10.005,9.385,1994-10-25,13.110,3.520,,,,4.390,12.690,8.973,3.073,37.507,34.247,-0.244,-0.267,L,4.02,,
TD023,9,"LIDET_AND",1,4,"THPL",L,789,1.0,1990-10-19,10.010,9.489,1994-10-25,18.850,5.670,,,,7.790,9.010,8.750,5.159,59.753,58.960,-0.128,-0.132,L,4.02,,
TD023,9,"LIDET_AND",1,4,"TRAE",L,2897,1.0,1990-10-19,10.095,9.621,1994-10-25,22.220,6.090,,,,2.820,11.900,9.350,5.365,63.299,57.380,-0.114,-0.138,L,4.02,,
