Jar,Exp,plot,Ring,CO2,N,NoSp,NoGrp,MonoSp,MonoGrp,D1.DRR,D4.DRR,D7.DRR,D13.DRR,D27.DRR,D46.DRR,D74.DRR,D152.DRR,D168.DRR,D222.DRR,D273.DRR,D324.DRR,D391.DRR,D1.CR,D4.CR,D7.CR,D13.CR,D27.CR,D46.CR,D74.CR,D152.CR,D168.CR,D222.CR,D273.CR,D324.CR,D391.CR,TC,NHC
11,e141,163,3,Cenrich,Namb,16,4,,,0.004742574,0.003256388,0.002263,0.002031817,0.001397863,0.001630209,0.001161969,0.001132853,0.00210543,0.001085,0.000545,0.000167,0.000496,0.0047426,0.0159979,0.0237807,0.03655,0.0602407,0.0891236,0.12798,0.2174635,0.243856,0.3294984,0.3708063,0.3887773,0.4111416,0.6495,1.96
12,e141,130,3,Cenrich,Nenrich,16,4,,,0.008936002,NA,0.004084,0.004342384,0.003716484,0.00331516,0.002516614,0.001716383,0.00212807,0.001427,0.000994,0.000809,0.001063,0.008936,0.0308916,0.0455687,0.0709762,0.1270753,0.1936752,0.2749208,0.4396075,0.470569,0.5662068,0.6277242,0.6736024,0.7364314,0.5889,1.91
13,e141,52,1,Cenrich,Nenrich,16,4,,,0.005955281,0.004740498,0.004299,0.003855932,0.003946277,0.00325014,0.00249634,0.001375287,0.00167133,0.001181,0.000875,0.000543,0.000651,0.0059553,0.0213916,0.0347308,0.0589749,0.1136356,0.1816534,0.2617273,0.4121602,0.4366812,0.5134485,0.5657275,0.6017354,0.6417895,0.4344,1.24
14,e141,71,2,Camb,Nenrich,1,1,SorghastrumNutans,C-4,0.005512777,0.00374985,0.003371,0.00288724,0.002679604,0.002148904,0.001671932,0.00135871,0.00105635,0.001376,0.000988,0.000595,0.001149,0.0055128,0.0185253,0.0290177,0.0475513,0.0864154,0.1320208,0.185274,0.3033124,0.3224817,0.3883043,0.4483716,0.488525,0.5472225,0.545,2.19
15,e141,231,4,Camb,Namb,1,1,SchizachyriumScoparium,C-4,0.00546824,0.003934557,0.003056,0.002966966,0.002492079,0.002096337,0.001332631,0.001106093,0.00170019,0.001356,0.000945,0.000915,0.00078,0.0054682,0.0188056,0.0288531,0.0468787,0.0848546,0.1282467,0.1758704,0.2708673,0.2936147,0.3759621,0.4344435,0.4818777,0.5386061,0.5871,1.74
16,e141,254,5,Cenrich,Namb,1,1,SchizachyriumScoparium,C-4,0.003662596,0.002530536,0.001789,NA,0.00146524,0.001436446,0.000992103,NA,0.00060284,0.000571,0.000539,0.000266,0.00088,0.0036626,0.0123863,0.0184948,0.0270352,0.0486008,0.0761525,0.10993,0.179626,0.1907311,0.2223999,0.250668,0.271054,0.3097489,0.6005,1.53
17,e141,112,2,Camb,Nenrich,1,1,AgropyronRepens,C-3,0.005126479,0.003570872,0.002885,0.002655561,0.001971049,0.001906014,0.001615064,0.000519403,0.00086163,0.001328,0.000694,0.000863,0.000946,0.0051265,0.0173947,0.0267351,0.0432414,0.0752854,0.112085,0.1612346,0.243931,0.2551504,0.3145023,0.3657374,0.4055105,0.4661475,0.6004,1.52
18,e141,306,6,Camb,Namb,16,4,,,0.003491396,0.003491396,0.0032,0.002833099,0.002311205,0.002416656,0.001910343,0.001223386,0.00157398,0.001458,0.000978,0.000891,0.000813,0.0034914,0.0139656,0.0238563,0.0417713,0.0775205,0.1224879,0.1828127,0.3046846,0.3272388,0.4090346,0.4708971,0.5185084,0.5755501,0.6426,2.49
19,e141,5,1,Cenrich,Namb,1,1,AsclepiasTuberosa,Forb,0.003148727,0.00227415,0.001822,0.001746763,0.001537838,0.001202908,0.00095835,0.000743524,0.0008624,0.001091,0.000464,0.000234,0.000668,0.0031487,0.0108458,0.0167648,0.0274345,0.0503222,0.0761918,0.1063272,0.1725929,0.1854996,0.2383432,0.2776705,0.2953498,0.3257821,0.4748,1.17
20,e141,24,1,Cenrich,Namb,1,1,AgropyronRepens,C-3,0.004291979,0.003496863,0.002975,0.002418782,0.002407528,0.00189474,0.001567323,0.001065885,0.00142487,0.001393,0.000518,0.000209,0.000602,0.004292,0.0155777,0.0250237,0.0409258,0.0747044,0.1153195,0.1636247,0.2660691,0.2861746,0.3622487,0.4105506,0.4289342,0.4562881,0.4624,1.67
21,e141,266,5,Cenrich,Namb,1,1,BromusInermis,C-3,0.005348776,0.003601162,0.003349,0.002973683,0.002627723,0.002513392,0.001963764,0.001055885,0.00197432,0.000715,0.001384,0.000719,0.001229,0.0053488,0.0178999,0.0281984,0.046978,0.0860149,0.1347983,0.1972037,0.3145161,0.3392169,0.4112076,0.4650781,0.5183734,0.5838856,0.6661,1.58
22,e141,222,4,Camb,Namb,16,4,,,0.003638391,0.003638391,0.002855,0.002667364,0.002327765,0.002208005,0.00190356,0.000985234,0.00070263,0.000906,0.000783,0.000427,0.000973,0.0036384,0.0145536,0.0239011,0.0403733,0.0751694,0.1181993,0.175609,0.2878128,0.3011745,0.3446975,0.3877066,0.4183995,0.4655681,0.3155,0.92
23,e141,270,5,Cenrich,Namb,16,4,,,0.005575544,0.004615442,0.003826,0.00346946,0.003119135,0.002934729,0.002178738,0.002141148,0.0017357,0.001761,0.000835,0.001615,0.001527,0.0055755,0.020382,0.0326486,0.0543558,0.1003008,0.1577203,0.2289308,0.3973876,0.4281996,0.5226216,0.5883478,0.6511983,0.7564087,0.6205,1.41
24,e141,352,6,Camb,Nenrich,1,1,BromusInermis,C-3,0.007663342,0.006102713,0.005565,0.005168909,0.004420129,0.003728381,0.002570216,0.001283934,0.00192376,0.001498,0.001313,0.001841,0.000787,0.0076633,0.0275321,0.0447651,0.0767691,0.143518,0.220583,0.3081842,0.457853,0.4838345,0.5760187,0.6476114,0.7283026,0.815828,0.65,1.95
25,e141,33,1,Cenrich,Namb,16,4,,,0.00782328,0.00598831,0.00598,0.004946748,0.00456825,0.004344868,0.003017027,0.002530758,0.00180227,0.001834,0.001048,0.000221,0.00124,0.0078233,0.0276232,0.0455705,0.0778329,0.1442486,0.2288115,0.3312142,0.5473346,0.5816346,0.6798432,0.7529404,0.7848798,0.8343523,0.5325,1.55
26,e141,104,2,Camb,Namb,16,4,,,0.005662674,0.003986071,0.004206,0.00364628,0.002192909,0.002859795,0.002918681,0.001644701,0.00073682,0.001271,0.000771,0.000677,0.000618,0.0056627,0.0192975,0.0316962,0.054974,0.0951216,0.1434558,0.2243839,0.4017188,0.420317,0.4747815,0.5265989,0.5634777,0.6068093,0.5482,1.4
27,e141,213,4,Camb,Nenrich,16,4,,,0.007151363,0.005636376,0.005093,0.004484691,0.003841725,0.003537879,0.00266488,0.00174628,0.00181923,0.001231,0.001386,0.001314,0.000811,0.0071514,0.0255755,0.041398,0.0698271,0.1277905,0.1977448,0.2841469,0.4557229,0.4842834,0.5663321,0.6331204,0.7019301,0.7728834,0.6396,1.69
28,e141,31,1,Cenrich,Nenrich,1,1,AsclepiasTuberosa,Forb,0.003393857,0.002481116,0.002208,0.00173691,0.001243197,0.001453957,0.001077467,0.000762824,0.00063312,0.000873,0.00076,0.000507,0.000504,0.0033939,0.0117499,0.0186474,0.0302471,0.050861,0.0765893,0.111841,0.183455,0.1945577,0.2353384,0.2769312,0.3091338,0.343019,0.4728,1.36
29,e141,137,3,Cenrich,Nenrich,1,1,LespedezaCapitata,Legume,0.003123383,0.002354696,0.002138,0.001574333,0.001196419,0.001371649,NA,0.00080872,0.00024579,0.000364,0.000262,0.000347,0.000666,0.0031234,0.0109562,0.0175866,0.0284414,0.0476477,0.072132,0.1064569,0.1803734,0.188528,0.2050611,0.2209811,0.2365471,0.2706242,0.5901,2.08
30,e141,67,2,Camb,Namb,16,4,,,0.003655851,0.002838236,0.002787,0.002417462,0.001927335,0.002139398,0.001482577,0.001965248,0.00115829,0.001287,0.000475,0.000739,0.00035,0.0036559,0.0129882,0.0213998,0.0368277,0.0669962,0.1057362,0.1561154,0.2908219,0.3154068,0.3814846,0.425991,0.4570745,0.4933726,0.5053,1.4
31,e141,57,1,Cenrich,Namb,1,1,SchizachyriumScoparium,C-4,0.002782932,0.002122179,0.002119,0.001547376,0.001301076,0.001492544,0.001162222,0.000759592,0.00097796,0.0009,0.000587,0.000538,0.001021,0.0027829,0.0098102,0.0161707,0.0268844,0.0467004,0.0733355,0.1103371,0.1850865,0.1990962,0.249762,0.2875222,0.3161857,0.3686715,0.4645,1.41
32,e141,118,2,Camb,Nenrich,16,4,,,0.005535713,0.002941606,0.003971,0.003316371,0.003180238,0.002783559,0.002292807,0.002149508,0.00114133,0.00108,0.001295,0.000664,0.000562,0.0055357,0.0169546,0.0278388,0.0493742,0.0947824,0.1512401,0.2220639,0.3952425,0.4210651,0.4810011,0.5416617,0.591294,0.632321,0.6344,2.23
33,e141,279,5,Cenrich,Namb,1,1,AmorphaCanescens,Legume,0.004506223,0.00327391,0.003657,0.002537637,0.002269965,0.001715279,0.001313804,0.00128577,0.00140339,0.000792,0.00051,0.000561,0.000252,0.0045062,0.0155603,0.0261479,0.0441718,0.0776912,0.1152737,0.1574801,0.2588494,0.2804216,0.3393854,0.3724443,0.3997949,0.4268739,0.682,1.69
34,e141,250,5,Cenrich,Namb,16,4,,,0.006166603,0.005226355,0.004382,0.003253222,0.002830024,0.002601653,0.002204014,0.001479762,0.00126767,0.000921,0.001011,0.001376,0.00127,0.0061666,0.0227859,0.0367761,0.0591171,0.1014882,0.152975,0.2200555,0.3633606,0.385234,0.4441569,0.4934597,0.554503,0.643085,0.6805,1.55
35,e141,13,1,Cenrich,Nenrich,16,4,,,0.00627558,0.005399521,0.005386,0.004392789,0.003654494,0.003071732,0.002416167,0.001697466,0.00183619,0.00121,0.001586,0.001085,0.000695,0.0062756,0.0233502,0.0395226,0.0683634,0.1243252,0.187933,0.2644358,0.4245082,0.4528467,0.5347899,0.6062819,0.6741415,0.7335886,0.5477,1.02
36,e141,69,2,Camb,Namb,16,4,,,0.005957463,0.004457596,0.004102,0.003468092,0.003331527,0.003223685,0.002292332,0.001507895,0.00198233,0.002067,0.001147,0.00082,0.001159,0.0059575,0.0208301,0.0334925,0.0558868,0.1034159,0.1656365,0.2423951,0.3902117,0.4183708,0.5277398,0.6092219,0.6592001,0.7256551,0.5084,1.72
37,e141,241,4,Camb,Nenrich,1,1,LespedezaCapitata,Legume,0.003647334,0.003201507,0.002777,0.001902681,0.001095332,0.0018749,0.001196112,0.000468956,0.00033941,0.000646,0.000573,0.000445,0.000604,0.0036473,0.0136977,0.0224536,0.036056,0.0566384,0.0852454,0.1279002,0.1924743,0.1988764,0.225645,0.2566946,0.2825725,0.3177799,0.5806,2.24
38,e141,64,2,Camb,Nenrich,16,4,,,0.003323511,0.003961296,0.003469,0.002120149,0.002079229,0.001673437,0.001189986,0.001041676,0.00101227,0.00101,0.000316,0.000175,0.000096,0.0033235,0.0145696,0.0254686,0.0415611,0.0709363,0.1063837,0.1462299,0.2331906,0.2496074,0.3041995,0.3376481,0.3500823,0.3591224,0.5127,1.38
39,e141,196,4,Camb,Nenrich,1,1,AmorphaCanescens,Legume,0.001336735,0.000967499,0.001499,0.000594085,0.00035219,0.000741635,0.000474824,0.000674066,0.00060263,0.000519,0.000485,0.000607,NA,0.0013367,0.0046085,0.0085742,0.0144012,0.0209042,0.0314902,0.0483873,0.0932936,0.1034714,0.133718,0.1593068,0.1872093,0.2278669,0.6431,2
40,e141,169,3,Cenrich,Namb,1,1,AmorphaCanescens,Legume,0.002681071,0.001873623,0.002209,0.001330971,0.000787255,0.000894864,0.000798288,0.000424133,0.00103952,0.000808,0.000418,0.000696,0.000612,0.0026811,0.0091094,0.0154002,0.02558,0.0401357,0.0561696,0.0798255,0.1273128,0.1393297,0.1890901,0.2201618,0.2487204,0.292515,0.577,1.52
41,e141,143,3,Cenrich,Nenrich,1,1,SolidagoRigida,Forb,0.006251169,0.004716554,0.004612,0.004663607,0.002678136,0.001998057,0.001836476,0.000835098,0.00310993,0.001197,0.001074,0.001432,0.001062,0.0062512,0.0219354,0.0358759,0.0637284,0.1141279,0.1582117,0.2118143,0.315505,0.3482027,0.4635431,0.5213919,0.5854553,0.668807,0.9737,2.21
42,e141,39,1,Cenrich,Namb,1,1,BromusInermis,C-3,0.004942777,0.003718155,0.00403,0.003395917,0.003253758,0.002800695,0.002832402,0.001500057,0.00103385,0.000999,0.000847,0.000845,0.000561,0.0049428,0.0173219,0.0291002,0.0510611,0.0975377,0.1548285,0.2337077,0.4020075,0.4220456,0.4769254,0.5239436,0.5671053,0.6140796,0.6247,1.83
43,e141,108,2,Camb,Nenrich,16,4,,,0.006354776,0.004454298,0.00494,0.003841984,0.004049453,0.003459258,0.002618253,0.001676396,0.00190393,0.001239,0.000984,0.000758,0.000581,0.0063548,0.0216181,0.035952,0.0617484,0.1170922,0.1881299,0.2727945,0.4398149,0.4685713,0.5530966,0.6096636,0.6539731,0.6987178,0.5926,2.02
44,e141,53,1,Cenrich,Nenrich,1,1,SolidagoRigida,Forb,0.005127999,0.005127999,0.004859,0.003733246,0.003559892,0.002493128,0.001929696,0.001355959,0.00052398,0.001083,0.000454,0.000777,0.000803,0.005128,0.020512,0.0353581,0.0605721,0.1115374,0.1685077,0.2301455,0.3579992,0.3726227,0.4162872,0.4551723,0.4867344,0.5396748,0.4552,1.45
45,e141,132,3,Cenrich,Nenrich,1,1,SchizachyriumScoparium,C-4,0.004801587,0.003825263,0.003664,0.002463947,0.002136573,0.001722983,0.001523644,0.001043669,0.00146999,0.000934,0.000393,0.000463,0.000969,0.0048016,0.0172537,0.0284078,0.0461926,0.0782326,0.1146915,0.1600447,0.2599299,0.2802524,0.3448879,0.3784611,0.4003329,0.4485557,0.6679,1.98
46,e141,103,2,Camb,Nenrich,1,1,BromusInermis,C-3,0.006575846,0.005263728,0.004814,0.003799273,0.003551823,0.003215243,0.002814602,0.001527635,0.00177779,0.001797,0.00125,0.001241,0.001499,0.0065758,0.0236791,0.0385706,0.0639028,0.1152367,0.1793556,0.2635731,0.4322768,0.4588453,0.5553624,0.6327706,0.6962915,0.7882184,0.6774,2.1
47,e141,36,1,Cenrich,Nenrich,1,1,AgropyronRepens,C-3,0.006394325,0.004810392,0.004599,0.003232547,0.00229951,0.002030637,0.00127954,0.00108592,0.00194398,0.000577,0.000887,0.000563,0.001025,0.0063943,0.0224094,0.0364172,0.0592278,0.0974857,0.1384876,0.1844546,0.2766107,0.3012789,0.3686557,0.4061498,0.4429848,0.4964155,0.3768,1.33
48,e141,90,2,Camb,Namb,1,1,SorghastrumNutans,C-4,0.004351844,0.004351844,0.004183,0.003115273,0.002609319,0.002566247,0.00271492,0.001871148,0.0017115,0.001364,0.000694,0.000504,0.000819,0.0043518,0.0174074,0.0301252,0.0514861,0.0913052,0.1404516,0.2144622,0.392897,0.4214784,0.5043312,0.5564629,0.5869123,0.6313717,0.6957,1.86
49,e141,144,3,Cenrich,Nenrich,1,1,AgropyronRepens,C-3,0.003824585,0.002345421,0.002935,0.001775309,0.001579331,0.001554003,0.001202656,0.000572456,0.00022845,0.000997,0.000852,0.000617,NA,0.0038246,0.01234,0.0205549,0.0341052,0.0574897,0.0872437,0.1256613,0.1945755,0.2008108,0.2342903,0.2813858,0.3187455,0.3601028,0.5879,3.03
50,e141,68,2,Camb,Nenrich,1,1,SchizachyriumScoparium,C-4,0.003537886,0.002793374,0.0029,0.001672291,0.001436264,0.001206238,0.001277084,0.001109213,0.00060311,0.001625,0.001017,0.000332,0.000056,0.0035379,0.0126625,0.021255,0.0343568,0.0559987,0.0809874,0.1157894,0.208771,0.2222166,0.2828906,0.3499655,0.3840369,0.3969003,0.4369,1.86
51,e141,123,3,Cenrich,Nenrich,1,1,SorghastrumNutans,C-4,0.005947581,0.004307657,0.004573,0.00274582,0.002120592,0.001891353,0.001422619,0.00064035,0.00076539,0.001675,0.000273,NA,0.001154,0.0059476,0.0205105,0.0339639,0.0550065,0.0887588,0.1267577,0.1729189,0.2529836,0.264292,0.3306307,0.3795892,0.4049464,0.4676978,0.5892,1.57
52,e141,192,4,Camb,Namb,1,1,AsclepiasTuberosa,Forb,0.00145172,0.00113815,0.001398,0.000559936,0.000362368,0.000606897,0.000491818,0.000264713,NA,0.000434,0.000099,0.000309,0.000207,0.0014517,0.0051797,0.0091137,0.0145683,0.0209256,0.0302559,0.0455804,0.0749716,0.0799276,0.1011315,0.1145523,0.1250599,0.142296,0.5688,1.74
53,e141,23,1,Cenrich,Namb,16,4,,,0.004646651,0.003396103,0.003472,0.002406843,0.001909516,0.002018487,0.001767307,0.000942421,0.0010535,0.000778,0.00074,0.000618,0.000119,0.0046467,0.0160855,0.026426,0.0435304,0.0734962,0.1108667,0.1637423,0.2690092,0.2850321,0.3343437,0.3730347,0.4076026,0.4320359,0.4473,1.33
54,e141,160,3,Cenrich,Nenrich,1,1,AsclepiasTuberosa,Forb,0.001770681,0.00136869,0.001193,0.000583146,0.000236889,0.000748507,0.000634126,0.000935568,0.00029585,0.000629,0.000246,0.000609,0.000467,0.0017707,0.0062787,0.0100337,0.0150575,0.0206246,0.0302417,0.0495414,0.1109101,0.1204416,0.1455804,0.1677008,0.1896905,0.2256869,0.4829,1.7
55,e141,45,1,Cenrich,Namb,16,4,,,0.005499013,0.004441364,0.004407,0.002930227,0.002916016,0.002461951,0.002018477,0.001200775,0.00165431,0.001265,0.001152,0.000972,0.000919,0.005499,0.0198808,0.0331365,0.0544103,0.0953269,0.1461905,0.2086948,0.3338368,0.3569042,0.4355268,0.4971096,0.5511921,0.6145262,0.4988,2.22
56,e141,174,3,Cenrich,Nenrich,1,1,BromusInermis,C-3,0.00752284,0.006059015,0.005226,0.003697319,0.00330289,0.003102891,0.001875326,0.001818362,0.00234679,0.001459,0.001118,0.001907,0.001468,0.0075228,0.0271637,0.0436749,0.0696808,0.118485,0.1792399,0.2483212,0.3923465,0.4259319,0.5282364,0.5937718,0.6713065,0.7841422,0.8076,1.85
57,e141,51,1,Cenrich,Namb,16,4,,,0.015660208,0.011599309,0.010833,0.006956052,0.00593454,0.004509943,0.003430951,0.001685947,0.0023186,0.00175,0.001001,0.002111,0.000948,0.0156602,0.054519,0.0877843,0.139213,0.2289364,0.3274467,0.4380797,0.6367662,0.6691189,0.7786852,0.8484628,0.9283671,1.0302461,0.7897,2.49
58,e141,94,2,Camb,Nenrich,1,1,AsclepiasTuberosa,Forb,0.001840994,0.001486543,0.001758,0.000705934,0.000651204,0.000540665,0.000765473,0.000658477,0.00043916,0.000162,0.000793,0.000013,0.000127,0.001841,0.0066551,0.0116577,0.0185235,0.0279961,0.0392636,0.0576619,0.1131425,0.1218139,0.1379055,0.1625831,0.1827492,0.1875018,0.382,1.27
59,e141,107,2,Camb,Namb,16,4,,,0.008180875,0.006388834,0.005281,0.003599583,0.003778395,0.002900263,0.002766639,0.001313186,0.00107029,0.001077,0.000774,0.000505,0.000806,0.0081809,0.0291394,0.0460906,0.0718921,0.1236274,0.1866356,0.2659054,0.4242919,0.4432382,0.5012253,0.548293,0.5807919,0.6248723,0.5159,1.89
60,e141,175,3,Cenrich,Nenrich,16,4,,,0.006938236,0.005864464,0.005584,0.003814708,0.003861531,0.003107059,0.002207016,0.001662858,0.00163741,0.00119,0.000507,0.001116,0.000858,0.0069382,0.0256054,0.0426372,0.0699478,0.1237049,0.1895292,0.2634763,0.4141293,0.4405187,0.5166303,0.5595612,0.6012614,0.6672754,0.473,1.69
61,e141,110,2,Camb,Nenrich,16,4,,,0.003279661,0.001541406,0.002042,0.00135387,0.000234056,0.001228886,NA,0.001326694,0.0011961,0.000994,0.000801,0.000704,0.000245,0.0032797,0.0096421,0.0152684,0.025113,0.0356686,0.0500639,0.0851819,0.1867812,0.2068983,0.2659202,0.3115824,0.3499043,0.3814604,0.5392,1.53
62,e141,116,2,Camb,Namb,1,1,LespedezaCapitata,Legume,0.003792398,0.002853835,0.002856,0.001725378,0.002151026,0.001423259,0.001618324,0.00137912,0.00087731,0.000799,0.000684,0.000641,0.000703,0.0037924,0.0132925,0.021858,0.0350364,0.0623841,0.0959759,0.1386556,0.2554363,0.2732368,0.3184484,0.3561954,0.3899664,0.4350368,0.546,1.79
63,e141,179,3,Cenrich,Namb,16,4,,,0.004624809,0.005576005,0.004698,0.003317118,0.003400775,0.002785228,0.002410597,0.001990558,0.00232983,0.001373,0.000802,0.001386,0.000661,0.0046248,0.0204016,0.0353729,0.058727,0.1057941,0.1642533,0.2368075,0.4082426,0.4429753,0.5424646,0.5976257,0.6537084,0.7219093,0.6324,1.88
64,e141,173,3,Cenrich,Namb,16,4,,,0.002650595,0.002221001,0.00182,0.001265296,0.001245128,0.001383426,0.001163568,0.000534013,0.00133654,0.000877,0.00094,0.000455,0.000319,0.0026506,0.0097432,0.0156043,0.024583,0.0421459,0.0671863,0.1027343,0.1686252,0.1839909,0.2435339,0.2899071,0.3252298,0.3510907,0.4558,1.56
65,e141,180,3,Cenrich,Nenrich,16,4,,,0.010533036,0.008325542,0.007062,0.005457493,0.005097813,0.004015889,0.00317711,0.002489198,0.00230475,0.002295,0.001727,0.002033,0.001486,0.010533,0.0377172,0.0601661,0.0969215,0.1706288,0.256668,0.3569506,0.5775927,0.6158521,0.7400355,0.8422996,0.9383191,1.0559194,0.9174,2.69
66,e141,126,3,Cenrich,Namb,1,1,SorghastrumNutans,C-4,0.005139994,0.003768852,0.003413,0.002545968,0.002590217,0.002112304,0.001688546,0.001300876,0.00131714,0.000889,0.001009,0.001073,0.000569,0.00514,0.0178177,0.028412,0.0458548,0.0818302,0.1262652,0.1792653,0.2956589,0.3166112,0.375974,0.4244446,0.4775703,0.532313,0.5319,1.97
67,e141,235,4,Camb,Namb,1,1,AgropyronRepens,C-3,0.003113559,0.002272947,0.002161,0.001578675,0.001568677,0.001353622,0.001168894,0.000836193,0.00073897,0.000804,0.000505,0.00033,0.000883,0.0031136,0.010773,0.0173675,0.0282948,0.0503212,0.0779756,0.1131984,0.1912305,0.2037831,0.2454636,0.2786867,0.2998958,0.3407996,0.4847,1.68
68,e141,256,5,Cenrich,Nenrich,1,1,LespedezaCapitata,Legume,0.004607538,0.003542367,0.003962,0.002773399,0.002571612,0.002138392,0.00149084,0.000914953,0.00141368,0.001065,0.001006,0.000656,0.000839,0.0046075,0.0162998,0.0277657,0.047377,0.0846911,0.1292196,0.179705,0.273243,0.2921214,0.3588716,0.4116467,0.4538466,0.5040268,0.8405,2.64
69,e141,201,4,Camb,Namb,16,4,,,0.002901057,0.002888465,0.003044,0.002260152,0.00214801,0.002128467,0.001592501,0.001151006,0.00169555,0.001903,0.001156,0.000918,0.000396,0.0029011,0.011579,0.0205546,0.036074,0.0668751,0.1074918,0.1593174,0.2660934,0.2891381,0.3864004,0.4640421,0.5168186,0.5605632,0.5354,1.65
70,e141,205,4,Camb,Nenrich,16,4,,,0.005651955,0.004370589,0.004632,0.002770635,0.002604642,0.002442784,0.001827793,0.001353216,0.00122745,0.000691,0.001066,0.000784,0.001032,0.005652,0.0200451,0.0336795,0.0549565,0.0925005,0.1403701,0.1998507,0.3236728,0.3442552,0.3957821,0.4407664,0.4877954,0.5487429,0.6075,2.66
71,e141,99,2,Camb,Nenrich,1,1,SolidagoRigida,Forb,0.006346762,0.005645773,0.004746,0.004044458,0.003769861,0.002901725,0.002603885,0.001935851,0.00213607,0.001124,0.000652,0.001478,0.001153,0.0063468,0.0239851,0.0391222,0.065142,0.119705,0.182651,0.2595806,0.4362962,0.4689717,0.5564973,0.6015635,0.6563037,0.7442963,0.728,2.37
