location,country,site,lat,long,t,litter.spp,type,MAT,MAP,CDI_LT,CDI_atan,Nt,Mt,Cell,Lig,C,N,CN,LIG_N,Ls
Hasslen,Sweden,HAS,60.27,16.25,1.490410959,SBI,L,4.2,425,0.2845,0.165,0.879031071,35.298,43,27.5,42.76,0.7537,56.73344832,36.48666578,0.390070922
Hasslen,Sweden,HAS,60.27,16.25,2.021917808,SBI,L,4.2,425,0.2845,0.165,0.716402456,25.29583333,43,27.5,42.76,0.7537,56.73344832,36.48666578,0.390070922
Hasslen,Sweden,HAS,60.27,16.25,2.430136986,SBI,L,4.2,425,0.2845,0.165,0.454102737,19.046,43,27.5,42.76,0.7537,56.73344832,36.48666578,0.390070922
Hasslen,Sweden,HAS,60.27,16.25,3,SBI,L,4.2,425,0.2845,0.165,0.445391005,17.69875,43,27.5,42.76,0.7537,56.73344832,36.48666578,0.390070922
Hasslen,Sweden,HAS,60.27,16.25,4.016438356,SBI,L,4.2,425,0.2845,0.165,0.135778421,6.212,43,27.5,42.76,0.7537,56.73344832,36.48666578,0.390070922
Hasslen,Sweden,HAS,60.27,16.25,0.430136986,NSP,L,4.2,425,0.2845,0.165,1.079682244,79.114,50.28,34.4,43.38,0.6296,68.90088945,54.63786531,0.406235239
Hasslen,Sweden,HAS,60.27,16.25,1.010958904,NSP,L,4.2,425,0.2845,0.165,1.089499813,74.066,50.28,34.4,43.38,0.6296,68.90088945,54.63786531,0.406235239
Hasslen,Sweden,HAS,60.27,16.25,1.490410959,NSP,L,4.2,425,0.2845,0.165,1.067036509,61.81818182,50.28,34.4,43.38,0.6296,68.90088945,54.63786531,0.406235239
Hasslen,Sweden,HAS,60.27,16.25,2.021917808,NSP,L,4.2,425,0.2845,0.165,1.026665897,60.202,50.28,34.4,43.38,0.6296,68.90088945,54.63786531,0.406235239
Hasslen,Sweden,HAS,60.27,16.25,2.430136986,NSP,L,4.2,425,0.2845,0.165,1.019099614,53.282,50.28,34.4,43.38,0.6296,68.90088945,54.63786531,0.406235239
Hasslen,Sweden,HAS,60.27,16.25,3,NSP,L,4.2,425,0.2845,0.165,1.022485287,48.02958333,50.28,34.4,43.38,0.6296,68.90088945,54.63786531,0.406235239
Hasslen,Sweden,HAS,60.27,16.25,4.016438356,NSP,L,4.2,425,0.2845,0.165,0.9564456,43.4748,50.28,34.4,43.38,0.6296,68.90088945,54.63786531,0.406235239
Hasslen,Sweden,HAS,60.27,16.25,4.98630137,NSP,L,4.2,425,0.2845,0.165,0.965928077,41.18958333,50.28,34.4,43.38,0.6296,68.90088945,54.63786531,0.406235239
Dorothea,Sweden,DOR,64.3,16.33,0.994520548,LPI,L,0.8,612,0.2306,0.1327,1.011327986,65.5412,46.86,35.89,47.36,0.4289,110.4220098,83.6791793,0.433716012
Dorothea,Sweden,DOR,64.3,16.33,1.243835616,LPI,L,0.8,612,0.2306,0.1327,1.027221827,52.5308,46.86,35.89,47.36,0.4289,110.4220098,83.6791793,0.433716012
Dorothea,Sweden,DOR,64.3,16.33,2.021917808,LPI,L,0.8,612,0.2306,0.1327,0.925859925,40.604,46.86,35.89,47.36,0.4289,110.4220098,83.6791793,0.433716012
Dorothea,Sweden,DOR,64.3,16.33,2.224657534,LPI,L,0.8,612,0.2306,0.1327,0.857745769,32.3512,46.86,35.89,47.36,0.4289,110.4220098,83.6791793,0.433716012
Dorothea,Sweden,DOR,64.3,16.33,3.008219178,LPI,L,0.8,612,0.2306,0.1327,0.845144892,27.3148,46.86,35.89,47.36,0.4289,110.4220098,83.6791793,0.433716012
Dorothea,Sweden,DOR,64.3,16.33,3.967123288,LPI,L,0.8,612,0.2306,0.1327,0.659077157,23.1975,46.86,35.89,47.36,0.4289,110.4220098,83.6791793,0.433716012
Dorothea,Sweden,DOR,64.3,16.33,5.005479452,LPI,L,0.8,612,0.2306,0.1327,0.645765387,18.0776,46.86,35.89,47.36,0.4289,110.4220098,83.6791793,0.433716012
Mastocka,Sweden,MAS,56.6,13.25,0.520547945,NSP,L,6.8,1070,0.3616,0.2024,1.099905231,77.45,50.89,34.2,44.49,0.5361,82.98824846,63.79406827,0.401927371
Mastocka,Sweden,MAS,56.6,13.25,1.010958904,NSP,L,6.8,1070,0.3616,0.2024,1.150987871,71.218,50.89,34.2,44.49,0.5361,82.98824846,63.79406827,0.401927371
Mastocka,Sweden,MAS,56.6,13.25,1.515068493,NSP,L,6.8,1070,0.3616,0.2024,1.336169359,59.218,50.89,34.2,44.49,0.5361,82.98824846,63.79406827,0.401927371
Mastocka,Sweden,MAS,56.6,13.25,2.010958904,NSP,L,6.8,1070,0.3616,0.2024,1.416614357,56.838,50.89,34.2,44.49,0.5361,82.98824846,63.79406827,0.401927371
Mastocka,Sweden,MAS,56.6,13.25,3.008219178,NSP,L,6.8,1070,0.3616,0.2024,1.174438917,47.44636364,50.89,34.2,44.49,0.5361,82.98824846,63.79406827,0.401927371
