LitterSpecies,SiteNo,PlotType,PlotAvgMoisture_gWgS,DeployDate,HarvestDate,Time_days,HarvestNo,LitterInitMass_g,LitterHarvestMass_g,LitterPropInitMass,LitterInitC_g,LitterHarvestC_g,LitterPropInitC,LitterInitN_g,LitterHarvestN_g,LitterPropInitN
TRE,9,dry,0.148019497,11/30/10,5/26/11,177,2,2.845,2.5196,0.885753481,1.378409452,1.178517704,0.854983766,0.029005273,0.030058828,1.036322887
TRE,9,dry,0.148019497,11/30/10,10/1/12,671,5,2.872,1.078,0.375350675,1.391685398,0.49177282,0.353364935,0.029284633,0.01953336,0.667017414
TRE,9,dry,0.148019497,11/30/10,9/27/11,301,4,2.847,2.288,0.803534996,1.379782826,1.01708464,0.73713386,0.029034172,0.03107104,1.070154159
TRE,9,dry,0.148019497,11/30/10,8/1/11,244,3,2.859,2.294,0.802447288,1.385276321,1.02236698,0.738023862,0.029149769,0.03255186,1.116710724
TRE,9,dry,0.148019497,11/30/10,4/29/11,150,1,2.846,2.6493,0.930730684,1.379325034,1.224850869,0.888007423,0.029024539,0.026307549,0.906389901
TRE,9,dry,0.148019497,11/30/10,9/20/13,1025,6,2.907,1.347,0.463374492,NA,NA,NA,NA,NA,NA
AMY,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.898,2.227,0.768542265,1.468290322,1.08167617,0.736690935,0.03631776,0.03420672,0.941873074
AMY,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.894,0.925,0.319641504,1.466351345,0.458874,0.312935915,0.0362698,0.01926775,0.531233979
AMY,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.872,0.928,0.323135074,1.455202227,0.43927808,0.301867377,0.035994029,0.02246688,0.624183523
AMY,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.898,1.67,0.576320423,1.468290322,0.8281363,0.564014002,0.03631776,0.0358382,0.986795448
AMY,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.937,2.1035,0.716227436,1.488164836,1.035868575,0.696071127,0.03680935,0.0349181,0.948620381
AMY,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.907,1.072,0.368732058,NA,NA,NA,NA,NA,NA
BEB,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.809,2.4742,0.880953142,1.314503878,1.090033552,0.829235707,0.030322967,0.029467722,0.971795485
